Base,Variable,LIC,LSC,,,
FVT 8 CW,Get Angle0,0,0,,,
FVT 8 CW,Get Angle1,22.5,90,,,
FVT 8 CW,Get Angle2,45,144,,,
FVT 8 CW,Get Angle3,67.5,216,,,
FVT 8 CW,Get Angle4,90,288,,,
FVT 8 CW,Get Angle5,112.5,300,,,
FVT 8 CW,Get Angle6,135,308.571429,,,
FVT 8 CW,Get Angle7,157.5,315,,,
FVT 8 CW,Get Angle8,180,320,,,
FVT 8 CW,Get Angle9,202.5,324,,,
FVT 8 CW,Get AngleA,225,327.272727,,,
FVT 8 CW,Get AngleB,247.5,330,,,
FVT 8 CW,Get AngleC,270,332.307692,,,
FVT 8 CW,Get AngleD,292.5,334.285714,,,
FVT 8 CW,Get AngleE,315,336,,,
FVT 8 CW,Get AngleF,337.5,337.5,,,
FVT 9 CW,Get Angle 0,0,0,,,
FVT 9 CW,Get Angle 1,22.5,22.5,,,
FVT 9 CW,Get Angle 2,45,45,,,
FVT 9 CW,Get Angle 3,675,675,,,
FVT 9 CW,Get Angle 4,90,90,,,
FVT 9 CW,Get Angle 5,112.5,112.5,,,
FVT 9 CW,Get Angle 6,135,135,,,
FVT 9 CW,Get Angle 7,157.5,157.5,,,
FVT 9 CW,Get Angle 8,180,180,,,
FVT 9 CW,Get Angle 9,202.5,202.5,,,
FVT 9 CW,Get Angle A,225,225,,,
FVT 9 CW,Get Angle B,247.5,247.5,,,
FVT 9 CW,Get Angle C,270,270,,,
FVT 9 CW,Get Angle D,292.5,292.5,,,
FVT 9 CW,Get Angle E,315,315,,,
FVT 8 CD,Get Angle 0,0,0,,,
FVT 8 CD,Get Angle 1,225,24,,,
FVT 8 CD,Get Angle 2,45,48,,,
FVT 8 CD,Get Angle 3,675,72,,,
FVT 8 CD,Get Angle 4,90,96,,,
FVT 8 CD,Get Angle 5,112.5,120,,,
FVT 8 CD,Get Angle 6,135,144,,,
FVT 8 CD,Get Angle 7,157.5,168,,,
FVT 8 CD,Get Angle 8,180,192,,,
FVT 8 CD,Get Angle 9,202.5,216,,,
FVT 8 CD,Get Angle A,225,240,,,
FVT 8 CD,Get Angle B,247.5,264,,,
FVT 8 CD,Get Angle C,270,288,,,
FVT 8 CD,Get Angle D,292.5,312,,,
FVT 8 CD,Get Angle E,315,336,,,
FVT 8 CD,Get Angle F,337.5,337.5,,,
FVT 9 CD,Get Angle 0,0,0,,,
FVT 9 CD,Get Angle 1,22.5,72,,,
FVT 9 CD,Get Angle 2,45,144,,,
FVT 9 CD,Get Angle 3,67.5,216,,,
FVT 9 CD,Get Angle 4,90,240,,,
FVT 9 CD,Get Angle 5,112.5,257.142857,,,
FVT 9 CD,Get Angle 6,135,240,,,
FVT 9 CD,Get Angle 7,157.5,252,,,
FVT 9 CD,Get Angle 8,180,261.818182,,,
FVT 9 CD,Get Angle 9,202.5,270,,,
FVT 9 CD,Get Angle A,225,257.142857,,,
FVT 9 CD,Get Angle B,247.5,264,,,
FVT 9 CD,Get Angle C,270,288,,,
FVT 9 CD,Get Angle D,292.5,312,,,
FVT 9 CD,Get Angle E,315,336,,,
FVT 9 CD,Get Angle F,337.5,337.5,,,
FVT 100 CW,Get Angle 0,0,0,,,
FVT 100 CW,Get Angle 1,30,30,,,
FVT 100 CW,Get Angle 2,60,60,,,
FVT 100 CW,Get Angle 3,90,90,,,
FVT 100 CW,Get Angle 4,120,120,,,
FVT 100 CW,Get Angle 5,150,150,,,
FVT 100 CW,Get Angle 6,180,180,,,
FVT 100 CW,Get Angle 7,210,210,,,
FVT 100 CW,Get Angle 8,240,240,,,
FVT 100 CW,Get Angle 9,270,270,,,
FVT 100 CW,Get Angle A,300,300,,,
FVT 100 CW,Get Angle B,330,330,,,
FVT 110 CW,Get Angle 0,0,0,,,
FVT 110 CW,Get Angle 1,30,30,,,
FVT 110 CW,Get Angle 2,60,60,,,
FVT 110 CW,Get Angle 3,90,90,,,
FVT 110 CW,Get Angle 4,120,120,,,
FVT 110 CW,Get Angle 5,150,150,,,
FVT 110 CW,Get Angle 6,180,180,,,
FVT 110 CW,Get Angle 7,210,210,,,
FVT 110 CW,Get Angle 8,240,240,,,
FVT 110 CW,Get Angle 9,270,270,,,
FVT 110 CW,Get Angle A,300,300,,,
FVT 110 CW,Get Angle B,330,330,,,
FVT 100 CD,Get Angle 0,0,0,,,
FVT 100 CD,Get Angle 1,30,30,,,
FVT 100 CD,Get Angle 2,60,60,,,
FVT 100 CD,Get Angle 3,90,90,,,
FVT 100 CD,Get Angle 4,120,120,,,
FVT 100 CD,Get Angle 5,150,150,,,
FVT 100 CD,Get Angle 6,180,180,,,
FVT 100 CD,Get Angle 7,210,210,,,
FVT 100 CD,Get Angle 8,240,240,,,
FVT 100 CD,Get Angle 9,270,270,,,
FVT 100 CD,Get Angle A,300,300,,,
FVT 100 CD,Get Angle B,330,330,,,
FVT 110 CD,Get Angle 0,0,0,,,
FVT 110 CD,Get Angle 1,30,30,,,
FVT 110 CD,Get Angle 2,60,60,,,
FVT 110 CD,Get Angle 3,90,90,,,
FVT 110 CD,Get Angle 4,120,120,,,
FVT 110 CD,Get Angle 5,150,150,,,
FVT 110 CD,Get Angle 6,180,180,,,
FVT 110 CD,Get Angle 7,210,210,,,
FVT 110 CD,Get Angle 8,240,240,,,
FVT 110 CD,Get Angle 9,270,270,,,
FVT 110 CD,Get Angle A,300,300,,,
FVT 110 CD,Get Angle B,330,330,,,
FVT 7 CD,Get Angle 0,0,0,,,
FVT 7 CD,Get Angle 1,22.5,24,,,
FVT 7 CD,Get Angle 2,45,48,,,
FVT 7 CD,Get Angle 3,67.5,72,,,
FVT 7 CD,Get Angle 4,90,96,,,
FVT 7 CD,Get Angle 5,112.5,120,,,
FVT 7 CD,Get Angle 6,135,144,,,
FVT 7 CD,Get Angle 7,157.5,168,,,
FVT 7 CD,Get Angle 8,180,192,,,
FVT 7 CD,Get Angle 9,202.5,216,,,
FVT 7 CD,Get Angle A,225,240,,,
FVT 7 CD,Get Angle B,247.5,264,,,
FVT 7 CD,Get Angle C,270,288,,,
FVT 7 CD,Get Angle D,292.5,312,,,
FVT 7 CD,Get Angle E,315,336,,,
FVT 7 CD,Get Angle F,337.5,337.5,,,
FVT 7 CW,Get Angle 0,0,0,,,
FVT 7 CW,Get Angle 1,22.5,24,,,
FVT 7 CW,Get Angle 2,45,48,,,
FVT 7 CW,Get Angle 3,67.5,72,,,
FVT 7 CW,Get Angle 4,90,96,,,
FVT 7 CW,Get Angle 5,112.5,120,,,
FVT 7 CW,Get Angle 6,135,144,,,
FVT 7 CW,Get Angle 7,157.5,168,,,
FVT 7 CW,Get Angle 8,180,192,,,
FVT 7 CW,Get Angle 9,202.5,216,,,
FVT 7 CW,Get Angle A,225,240,,,
FVT 7 CW,Get Angle B,247.5,264,,,
FVT 7 CW,Get Angle C,270,270,,,
FVT 7 CW,Get Angle D,292.5,292.5,,,
FVT 7 CW,Get Angle E,315,315,,,
FVT 7 CW,Get Angle F,337.5,337.5,,,
FVT 90 CD,Get_Angle0,0,0,,,
FVT 90 CD,Get_Angle1,30,32.727273,,,
FVT 90 CD,Get_Angle2,60,65.454545,,,
FVT 90 CD,Get_Angle3,90,98.181818,,,
FVT 90 CD,Get_Angle4,120,130.909091,,,
FVT 90 CD,Get_Angle5,150,163.636364,,,
FVT 90 CD,Get_Angle6,180,196.363636,,,
FVT 90 CD,Get_Angle7,210,229.090909,,,
FVT 90 CD,Get_Angle8,240,261.818182,,,
FVT 90 CD,Get_Angle9,270,294.545455,,,
FVT 90 CD,Get_AngleA,300,327.272727,,,
FVT 90 CD,Get_AngleB,330,330,,,
FVT 90 CW,Get_Angle0,0,0,,,
FVT 90 CW,Get_Angle1,30,32.727273,,,
FVT 90 CW,Get_Angle2,60,65.454545,,,
FVT 90 CW,Get_Angle3,90,98.181818,,,
FVT 90 CW,Get_Angle4,120,130.909091,,,
FVT 90 CW,Get_Angle5,150,163.636364,,,
FVT 90 CW,Get_Angle6,180,196.363636,,,
FVT 90 CW,Get_Angle7,210,229.090909,,,
FVT 90 CW,Get_Angle8,240,261.818182,,,
FVT 90 CW,Get_Angle9,270,294.545455,,,
FVT 90 CW,Get_AngleA,300,327.272727,,,
FVT 90 CW,Get_AngleB,330,330,,,